date,time,district,lat,lon,civ.race,civ.gender,civ.age,civ.injured,force_id,officer_id,month,civilian_race_short,hour
2012-06-17,2012-06-17T19:00:00Z,5,41.691776,-87.61336,BLACK,MALE,49,0,46013,112,2012-06-01,civilian_black,19
2012-07-11,2012-07-11T22:20:00Z,5,NA,NA,BLACK,MALE,25,0,46459,112,2012-07-01,civilian_black,22
2012-07-11,2012-07-11T22:22:00Z,5,NA,NA,BLACK,FEMALE,24,0,46461,112,2012-07-01,civilian_black,22
2013-06-13,2013-06-13T18:07:00Z,5,NA,NA,BLACK,MALE,22,0,51745,112,2013-06-01,civilian_black,18
2013-01-14,2013-01-14T08:45:00Z,4,41.656395,-87.543526,WHITE,FEMALE,25,0,49337,121,2013-01-01,civilian_white,8
2012-05-20,2012-05-20T00:45:00Z,4,41.756207,-87.59213,BLACK,FEMALE,28,0,45489,134,2012-05-01,civilian_black,0
2012-08-16,2012-08-16T01:17:00Z,4,41.75078,-87.54683,BLACK,MALE,25,0,47143,134,2012-08-01,civilian_black,1
2014-05-25,2014-05-25T02:28:00Z,4,NA,NA,BLACK,MALE,42,0,56750,134,2014-05-01,civilian_black,2
2014-11-27,2014-11-27T03:40:00Z,4,NA,NA,BLACK,MALE,35,0,59895,134,2014-11-01,civilian_black,3
2012-11-18,2012-11-18T15:15:00Z,2,41.802895,-87.62268,BLACK,MALE,19,0,48531,138,2012-11-01,civilian_black,15
2014-01-27,2014-01-27T19:30:00Z,16,41.945873,-87.76763,WHITE,MALE,37,0,55002,144,2014-01-01,civilian_white,19
2014-06-12,2014-06-12T16:40:00Z,25,NA,NA,HISPANIC,MALE,39,1,57102,144,2014-06-01,civilian_hisp,16
2015-04-01,2015-04-01T21:35:00Z,25,41.92409,-87.75773,HISPANIC,MALE,NA,1,61564,144,2015-04-01,civilian_hisp,21
2012-01-11,2012-01-11T20:35:00Z,5,41.673225,-87.636955,BLACK,MALE,32,0,43442,149,2012-01-01,civilian_black,20
2013-09-15,2013-09-15T00:44:00Z,4,41.70729,-87.53651,HISPANIC,MALE,19,0,53355,149,2013-09-01,civilian_hisp,0
2014-08-26,2014-08-26T19:28:00Z,4,41.748646,-87.594215,BLACK,MALE,26,1,58575,149,2014-08-01,civilian_black,19
2013-06-12,2013-06-12T01:43:00Z,8,41.79716,-87.704580000000007,HISPANIC,MALE,27,0,51730,155,2013-06-01,civilian_hisp,1
2012-10-02,2012-10-02T20:26:00Z,3,41.764637,-87.607994,BLACK,FEMALE,18,1,47918,158,2012-10-01,civilian_black,20
2012-04-14,2012-04-14T10:20:00Z,17,41.943844,-87.70654,WHITE,MALE,38,0,44860,166,2012-04-01,civilian_white,10
2012-04-27,2012-04-27T11:05:00Z,17,41.94557,-87.719666,HISPANIC,MALE,23,0,45039,166,2012-04-01,civilian_hisp,11
2012-07-12,2012-07-12T10:25:00Z,17,41.97118,-87.72812,,MALE,58,1,46474,166,2012-07-01,NA,10
2013-03-22,2013-03-22T08:00:00Z,17,41.963512,-87.723015,HISPANIC,FEMALE,33,1,50271,166,2013-03-01,civilian_hisp,8
2015-10-18,2015-10-18T13:15:00Z,16,41.98169,-87.77924,WHITE,MALE,27,1,64868,166,2015-10-01,civilian_white,13
2012-07-31,2012-07-31T14:11:00Z,13,NA,NA,BLACK,MALE,31,0,46820,170,2012-07-01,civilian_black,14
2015-08-02,2015-08-02T16:58:00Z,16,41.942417,-87.811646,HISPANIC,FEMALE,44,0,63640,171,2015-08-01,civilian_hisp,16
2013-05-14,2013-05-14T22:00:00Z,7,41.77953,-87.66084,BLACK,FEMALE,22,0,51197,175,2013-05-01,civilian_black,22
2015-09-18,2015-09-18T01:41:00Z,14,41.933285,-87.6928,,FEMALE,28,1,64335,183,2015-09-01,NA,1
2013-05-31,2013-05-31T17:31:00Z,20,41.98616,-87.699265,ASIAN/PACIFIC ISLANDER,MALE,20,1,51509,185,2013-05-01,civilian_aapi,17
2013-08-22,2013-08-22T15:15:00Z,24,42.00369,-87.69981,WHITE,FEMALE,60,0,52957,185,2013-08-01,civilian_white,15
2013-11-15,2013-11-15T17:00:00Z,24,41.991974,-87.707954,WHITE,MALE,26,0,54195,185,2013-11-01,civilian_white,17
2015-04-11,2015-04-11T05:00:00Z,3,41.761395,-87.59696,BLACK,MALE,24,0,61716,190,2015-04-01,civilian_black,5
2015-05-16,2015-05-16T10:48:00Z,9,41.809666,-87.67109,BLACK,MALE,29,1,62205,197,2015-05-01,civilian_black,10
2015-05-10,2015-05-10T21:15:00Z,4,41.756237,-87.56754,BLACK,FEMALE,30,0,62138,208,2015-05-01,civilian_black,21
2012-01-22,2012-01-22T01:16:00Z,14,NA,NA,WHITE,MALE,32,0,43565,218,2012-01-01,civilian_white,1
2012-08-29,2012-08-29T05:11:00Z,13,NA,NA,WHITE,MALE,27,0,47382,218,2012-08-01,civilian_white,5
2012-10-10,2012-10-10T05:29:00Z,13,NA,NA,HISPANIC,MALE,22,1,48030,218,2012-10-01,civilian_hisp,5
2012-09-14,2012-09-14T23:40:00Z,3,41.76344,-87.57715,BLACK,MALE,37,0,47673,220,2012-09-01,civilian_black,23
2013-06-05,2013-06-05T00:24:00Z,3,41.773952,-87.610664,BLACK,FEMALE,33,0,51596,220,2013-06-01,civilian_black,0
2013-07-11,2013-07-11T01:59:00Z,3,41.766968,-87.589485,BLACK,MALE,32,0,52263,220,2013-07-01,civilian_black,1
2015-04-19,2015-04-19T23:30:00Z,3,41.770668,-87.58258,BLACK,MALE,41,0,61867,220,2015-04-01,civilian_black,23
2012-07-31,2012-07-31T23:45:00Z,11,41.87183,-87.72729,BLACK,MALE,20,0,46832,224,2012-07-01,civilian_black,23
2013-09-20,2013-09-20T23:38:00Z,11,NA,NA,BLACK,MALE,25,0,53453,224,2013-09-01,civilian_black,23
2014-06-16,2014-06-16T02:27:00Z,11,41.874233,-87.734604,BLACK,MALE,32,0,57203,224,2014-06-01,civilian_black,2
2014-07-05,2014-07-05T03:46:00Z,11,41.875412,-87.7148,BLACK,MALE,41,1,57598,224,2014-07-01,civilian_black,3
2015-10-16,2015-10-16T21:50:00Z,11,41.870865,-87.714424,BLACK,MALE,41,0,64848,224,2015-10-01,civilian_black,21
2013-07-30,2013-07-30T16:08:00Z,3,41.764835,-87.564255,BLACK,MALE,27,0,52575,237,2013-07-01,civilian_black,16
2013-08-14,2013-08-14T18:06:00Z,3,41.759037,-87.562935,BLACK,FEMALE,24,0,52820,237,2013-08-01,civilian_black,18
2014-10-26,2014-10-26T21:24:00Z,3,41.779213,-87.60043,BLACK,MALE,43,0,59489,237,2014-10-01,civilian_black,21
2013-05-04,2013-05-04T08:20:00Z,18,41.88797,-87.63595,BLACK,MALE,22,0,51020,251,2013-05-01,civilian_black,8
2013-05-27,2013-05-27T09:56:00Z,18,NA,NA,BLACK,MALE,64,0,51443,251,2013-05-01,civilian_black,9
2013-09-19,2013-09-19T12:00:00Z,18,41.90611,-87.648155,BLACK,FEMALE,30,0,53428,251,2013-09-01,civilian_black,12
2013-12-28,2013-12-28T06:04:00Z,18,41.900675,-87.62849,BLACK,MALE,19,0,54689,251,2013-12-01,civilian_black,6
2015-12-25,2015-12-25T07:05:00Z,18,41.896713,-87.62612,BLACK,FEMALE,51,0,65667,251,2015-12-01,civilian_black,7
2012-11-06,2012-11-06T08:45:00Z,2,41.809418,-87.614655,BLACK,FEMALE,43,1,48368,259,2012-11-01,civilian_black,8
2012-05-06,2012-05-06T01:12:00Z,6,41.75005,-87.610054,BLACK,MALE,35,1,45234,261,2012-05-01,civilian_black,1
2013-06-19,2013-06-19T23:45:00Z,6,41.744926,-87.60016,BLACK,MALE,30,0,51870,261,2013-06-01,civilian_black,23
2013-08-17,2013-08-17T01:30:00Z,6,41.751728,-87.64408,BLACK,MALE,32,1,52860,261,2013-08-01,civilian_black,1
2013-08-17,2013-08-17T00:58:00Z,6,41.75134,-87.60099,BLACK,MALE,32,1,52857,261,2013-08-01,civilian_black,0
2013-09-11,2013-09-11T06:09:00Z,6,41.744682,-87.61637,BLACK,MALE,42,0,53293,261,2013-09-01,civilian_black,6
